Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
El1an,24496,27.2,19943,1.23,78.5,2.6,1220,32454,0.75,0.11,0.61,0.07,0.08,70.6,1.23,1.17
oskar,29315,30.5,24456,1.20,78.2,3.4,1457,38422,0.76,0.10,0.64,0.07,0.08,70.5,1.21,1.13
vsm,10281,46.7,8805,1.17,84.0,3.0,501,13253,0.78,0.13,0.66,0.09,0.10,71.9,1.26,1.19
kennyS,37067,31.2,30736,1.21,74.7,3.4,1852,48898,0.76,0.11,0.63,0.09,0.11,70.7,1.12,1.13
frozen,22564,55.0,19255,1.17,83.4,5.0,1133,29615,0.76,0.13,0.65,0.09,0.11,72.8,1.19,1.13
huNter-,28749,49.4,24711,1.16,85.0,5.5,1408,37073,0.78,0.14,0.67,0.10,0.11,72.1,1.24,1.12
Freeman,14141,49.4,11989,1.18,80.3,2.9,730,18621,0.76,0.13,0.64,0.09,0.11,72.9,1.15,1.16
woxic,21080,32.5,17513,1.20,76.8,2.3,1087,28459,0.74,0.11,0.62,0.08,0.10,71.3,1.18,1.12
dream3r,22379,50.0,18407,1.22,77.7,3.2,1145,29892,0.75,0.12,0.62,0.08,0.11,73.4,1.07,1.12
mantuu,13493,35.9,11205,1.20,76.7,3.4,675,18088,0.75,0.11,0.62,0.09,0.12,72.9,1.17,1.16
erkaSt,17206,50.2,14702,1.17,83.4,5.0,859,22286,0.77,0.15,0.66,0.09,0.09,72.2,1.20,1.18
yuurih,18758,44.6,15814,1.19,84.2,4.9,951,24788,0.76,0.15,0.64,0.09,0.11,73.3,1.15,1.18
liTTle,9317,27.7,7766,1.20,78.5,2.6,457,12154,0.77,0.10,0.64,0.07,0.09,71.4,1.22,1.12
INS,17383,42.5,14893,1.17,85.5,8.4,904,22952,0.76,0.17,0.65,0.10,0.09,72.1,1.25,1.19
chelleos,10644,32.0,9314,1.14,83.8,4.0,530,13687,0.78,0.13,0.68,0.10,0.09,69.4,1.38,1.19
kNgV-,16548,32.7,14142,1.17,78.5,2.1,827,21606,0.77,0.10,0.65,0.08,0.09,70.1,1.22,1.12
ropz,20627,52.0,17170,1.20,78.9,2.5,1054,27819,0.74,0.11,0.62,0.07,0.09,72.5,1.10,1.15
xsepower,22918,24.9,18453,1.24,72.8,2.1,1180,31677,0.72,0.08,0.58,0.07,0.08,71.3,1.20,1.16
Jamppi,10302,31.8,8894,1.16,78.2,2.8,503,13449,0.77,0.10,0.66,0.08,0.09,69.8,1.28,1.15
wrath,10634,50.1,9395,1.13,83.9,3.5,525,13568,0.78,0.14,0.69,0.11,0.14,72.2,1.21,1.12
NEOFRAG,11858,48.6,10440,1.14,86.8,8.6,580,15530,0.76,0.16,0.67,0.09,0.12,71.7,1.26,1.19
Twistzz,25038,62.4,21252,1.18,76.9,3.3,1300,34073,0.73,0.11,0.62,0.10,0.12,73.8,1.08,1.11
PTC,9304,36.1,7896,1.18,76.9,2.0,476,12393,0.75,0.10,0.64,0.08,0.09,71.2,1.19,1.14
GuardiaN,30375,29.6,25564,1.19,71.9,2.8,1568,41069,0.74,0.11,0.62,0.08,0.09,69.8,1.10,1.11
